City,Country,Latitude,Longitude,Timestamp_UTC,Temperature_C,Wind_KPH,Condition,AQI_US,CO,NO2,O3,PM2.5
Nairobi,Kenya,-1.2833,36.8167,1762479000,15.6,10.4,Clear,1,258.85,12.15,29.0,12.85
Lagos,Nigeria,6.4531,3.3958,1762480800,26.0,15.8,Patchy light rain with thunder,3,1488.85,37.65,17.0,42.95
Accra,Ghana,5.55,-0.2167,1762479900,26.3,10.4,Partly Cloudy,1,412.85,11.05,32.0,6.65
Johannesburg,South Africa,-26.2,28.0833,1762480800,14.3,15.5,Light rain shower,2,210.85,29.65,64.0,28.95
Cairo,Egypt,30.05,31.25,1762478100,21.2,6.5,Clear,3,488.85,65.55,1.0,41.65
Casablanca,Morocco,33.5931,-7.6164,1762479900,17.2,14.8,Partly Cloudy,1,159.85,17.75,50.0,12.95
Addis Ababa,Ethiopia,9.0333,38.7,1762480800,12.4,3.6,Clear,2,427.85,13.75,38.0,34.85
Dar Es Salaam,Tanzania,-6.8,39.2833,1762480800,24.6,7.2,Patchy rain nearby,1,105.85,6.45,24.0,9.45
Kampala,Uganda,0.3156,32.5656,1762479900,21.4,3.6,Patchy light rain with thunder,3,774.85,15.65,41.0,55.75
Algiers,Algeria,36.7631,3.0506,1762480800,16.2,16.2,Partly cloudy,1,128.85,7.25,71.0,5.85
