Laptop Name,Price,Ratings,Description Link
"Hp CHROMEBOOK 11 , INTEL CELERON, 4GB RAM,16GB EMMC + usb light",,,https://www.jumia.com.ng/hp-chromebook-11-intel-celeron-4gb-ram16gb-emmc-usb-light-404631342.html
Hp Stream 11 - Intel Celeron- Education Edition - 4GB RAM - 64GB HDD Windows 10 Pro+ Keyboard USB Light,,,https://www.jumia.com.ng/hp-stream-11-intel-celeron-education-edition-4gb-ram-64gb-hdd-windows-10-pro-keyboard-usb-light-306844738.html
"Hp CHROMEBOOK 11 , INTEL CELERON, 4GB RAM,16GB EMMC + usb light",,,https://www.jumia.com.ng/hp-chromebook-11-intel-celeron-4gb-ram16gb-emmc-usb-light-404631264.html
Hp EliteBook 840 G6 TOUCHSCREEN Core I5-16GB RAM/1TB SSD/Backlit Keyboard/Windows 11 Pro+BAG,,,https://www.jumia.com.ng/customer/account/login/?tkWl=HP246CL4ID2WYNAFAMZ-461256143&return=%2Flaptops%2F
Hp STREAM 11 LAPTOP- CELERON-64GB 4D 4GB RAM Windows 10 PRO+ & USB Light For Keyboard,,,https://www.jumia.com.ng/stream-11-laptop-celeron-64gb-4d-4gb-ram-windows-10-pro-usb-light-for-keyboard-hp-mpg9581171.html
Hp ProBook 11 X360- TOUCH- 256GB SSD/4GB RAM-Intel CELERON QUAD CORE WIN10 Pro +Mouse &USB Light,,,https://www.jumia.com.ng/customer/account/login/?tkWl=HP246CL5FNT3ENAFAMZ-540279924&return=%2Flaptops%2F
Hp EliteBook 840 G7 10th Gen Intel Core I5 Touchscreen 16GB RAM/512GB SSD Win 11 Pro,,,https://www.jumia.com.ng/customer/account/login/?tkWl=HP246CL875J8INAFAMZ-703787343&return=%2Flaptops%2F
"Hp STREAM 11, INTEL CELERON, 4GB RAM,64GBSSD WINS 10",,No ratings,https://www.jumia.com.ng/customer/account/login/?tkWl=HP246CL7AYSGLNAFAMZ-719146197&return=%2Flaptops%2F
"Hp CHROMEBOOK 11 , INTEL CELERON, 4GB RAM,16GB EMMC + usb light ",,,https://www.jumia.com.ng/hp-chromebook-11-intel-celeron-4gb-ram16gb-emmc-usb-light-404631232.html
Hp Hp Hp EliteBook 840 G7 10th Gen Intel Core I5 Touchscreen 16GB RAM/512GB SSD Win 11 Pro,,,https://www.jumia.com.ng/customer/account/login/?tkWl=HP246CL2AKKTENAFAMZ-139104903&return=%2Flaptops%2F
Hp Stream 11 Laptop- Intel Celeron - 64GB SSD 4GB RAM Windows 10 PRO+ Mouse & USB Light For Keyboard,,,https://www.jumia.com.ng/hp-stream-11-laptop-intel-celeron-64gb-ssd-4gb-ram-windows-10-pro-mouse-usb-light-for-keyboard-339483709.html
"Hp CHROMEBOOK 11 , INTEL CELERON, 4GB RAM,16GB EMMC + usb light ",,,https://www.jumia.com.ng/hp-chromebook-11-intel-celeron-4gb-ram16gb-emmc-usb-light-401409282.html
Hp EliteBook 840 G5 TOUCHSCREEN Core I7-16GB RAM/1TB SSD/Backlit Keyboard/FP Reader WIN 11 Pro+BAG,,,https://www.jumia.com.ng/customer/account/login/?tkWl=HP246CL3UKVUMNAFAMZ-396555902&return=%2Flaptops%2F
Hp Stream 11 LAPTOP Intel Celeron - 64GB SSD 4GB RAM Windows 10,,,https://www.jumia.com.ng/hp-stream-11-laptop-intel-celeron-64gb-ssd-4gb-ram-windows-10-407452388.html
DELL Refurbishe Latitude E5440 14in Notebook PC - Intel Core I5-4300u 1.9GHz 8GB 256 SSD Windows 10 Pro,,,https://www.jumia.com.ng/customer/account/login/?tkWl=DE168CL6KGXV0NAFAMZ-643424030&return=%2Flaptops%2F
DELL  Latitude 3190 Intel Celeron-64gb SSD/4gb RAM Win 10 +usb light,,No ratings,https://www.jumia.com.ng/customer/account/login/?tkWl=DE168CL7SAEB1NAFAMZ-719206831&return=%2Flaptops%2F
Hp ELITEBOOK X360 1030 G2 TOUCHSCREEN CORE I5 8GB RAM/ 1TB SSD BACKLIT KEYBOARD FP READER WIN 11 PRO,,,https://www.jumia.com.ng/probook11-x360-intel-celeron-512gb-4gbram-windows10mouse-hp-mpg3401178.html
DELL Latitude 11  Intel Celeron 4GB RAM- 64GB HDD WIN 10+ BAG,,,https://www.jumia.com.ng/customer/account/login/?tkWl=HP246CL6TK0D2NAFAMZ-701019462&return=%2Flaptops%2F
Hp  ProBook 11 X360-TOUCHSCREEN Intel Celeron 256GB SSD-4GB RAM WINDOWS10 Pro,,,https://www.jumia.com.ng/hp-probook-11-x360-touchscreen-intel-celeron-256gb-ssd-4gb-ram-windows10-pro-398122324.html
Hp Stream 11 Intel Celeron 4GB RAM- 64GB HDD WIN 10+ USB LIGHT FOR KEYBOARD,,,https://www.jumia.com.ng/customer/account/login/?tkWl=HP246CL0RAWKNNAFAMZ-98474958&return=%2Flaptops%2F
Hp EliteBook 845 G8 - Ryzen 5 Pro 5650U/AMD 2.3 - 16GB RAM/512GB SSD WIN 11 PRO+BAG,,,https://www.jumia.com.ng/customer/account/login/?tkWl=HP246CL4C24JRNAFAMZ-354093020&return=%2Flaptops%2F
Hp EliteBook 840 G7 Intel Core I5 Touchscreen 16GB RAM/1TB SSD/Backlit Keyboard/FP Win 11 Pro,,,https://www.jumia.com.ng/customer/account/login/?tkWl=HP246CL4LF2J3NAFAMZ-472850566&return=%2Flaptops%2F
Hp  ProBook 11 X360 TOUCH Intel Celeron 256GB 4GB RAM WIN10 Pro,,,https://www.jumia.com.ng/hp-probook-11-x360-touch-intel-celeron-256gb-4gb-ram-win10-pro-407532717.html
DELL Latitude 5300 TOUCHSCREEN Intel Core i5 512GB SSD/16GB RAM BACKLIGHT KEYBOARD/WIN 11 PRO+ BAG,,,https://www.jumia.com.ng/customer/account/login/?tkWl=HP246CL43QYBZNAFAMZ-353631509&return=%2Flaptops%2F
"DELL Latitude 3190 2in1 TOUCHSCREEN, INTEL PENTIUM 128GB SSD 8GB WIN 10 & WITH USB LIGHT",,,https://www.jumia.com.ng/dell-latitude-3190-2in1-touchscreen-intel-pentium-128gb-ssd-8gb-win-10-with-usb-light-401608031.html
"Hp CHROMEBOOK 11 , INTEL CELERON, 4GB RAM,16GB EMMC + USB LIGHT ",,,https://www.jumia.com.ng/hp-chromebook-11-intel-celeron-4gb-ram16gb-emmc-usb-light-404631215.html
Hp VICTUS 15 GAMING 13TH GEN INTEL CORE I5 16GB RAM 512GB SSD RTX 4050 (6GB) ,,,https://www.jumia.com.ng/customer/account/login/?tkWl=HP246CL83ZYBYNAFAMZ-701231056&return=%2Flaptops%2F
"DELL Refurbishe Latitude E5470 14-Inch Laptop (Intel Core-i5-6300U Upto 3.0 GHz, 8GB RAM 256GB ROM",,,https://www.jumia.com.ng/customer/account/login/?tkWl=DE168CL5QMP0SNAFAMZ-643351581&return=%2Flaptops%2F
DELL Latitude 3190 Intel Celeron-64gb SSD/4gb RAM Windows 10 plus USB light ,,,https://www.jumia.com.ng/customer/account/login/?tkWl=DE168CL7EZC5XNAFAMZ-719186479&return=%2Flaptops%2F
"DELL LATITUDE 3190 2in1 X360 INTEL PENTIUM, 8GB RAM,128GB SSD TOUCHSCREEN WIN11PRO+ mouse ",,,https://www.jumia.com.ng/customer/account/login/?tkWl=DE168CL87CRRPNAFAMZ-719145683&return=%2Flaptops%2F
Hp ProBook 11 X360- TOUCH- 256GB SSD/4GB RAM +Mouse &USB Light,,,https://www.jumia.com.ng/customer/account/login/?tkWl=HP246EL0MSR3CNAFAMZ-30662488&return=%2Flaptops%2F
Hp 250 G7 Intel Celeron - 8GB RAM - 1TB HDD - Windows 10 With Bag,,,https://www.jumia.com.ng/hp-250-g7-intel-celeron-8gb-ram-1tb-hdd-windows-10-with-bag-418068372.html
DELL DELL Latitude 7490 256GB SSD/16GB RAM/ Intel Core I5/ BACKLIGHT KEYBOARD-WIN 11PRO+BAG,,No ratings,https://www.jumia.com.ng/dell-dell-latitude-7490-256gb-ssd16gb-ram-intel-core-i5-backlight-keyboard-win-11probag-374138886.html
DELL Latitude 7490 Intel Core I5- 8GB RAM/256GB SSD BACKLIGHT KEYBOARD/WIN 11 PRO+BAG,,,https://www.jumia.com.ng/dell-latitude-7490-intel-core-i5-8gb-ram256gb-ssd-backlight-keyboardwin-11-probag-369719864.html
Hp ProBook 640 G2 Core i5 6th Gen 8GB RAM 500GB HDD,,No ratings,https://www.jumia.com.ng/customer/account/login/?tkWl=HP246CL7X92ELNAFAMZ-719149647&return=%2Flaptops%2F
Hp 250 G7 Intel Celeron - 8GB RAM - 1TB HDD - Windows 10 With  Bag,,,https://www.jumia.com.ng/hp-250-g7-intel-celeron-8gb-ram-1tb-hdd-windows-10-with-bag-409274268.html
